match,venue,date,time,team1,team1_score,team1_wickets,team1_overs,team2,team2_score,team2_wickets,team2_overs,winner,year
FINAL,"Narendra Modi Stadium, Ahmedabad","MAY, SUN 29",8:00 pm IST,GT,133.0,3.0,18.1,RR,130.0,9.0,20.0,GT,2022
QUALIFIER 2,"Narendra Modi Stadium, Ahmedabad","MAY, FRI 27",7:30 pm IST,RR,161.0,3.0,18.1,RCB,157.0,8.0,20.0,RR,2022
ELIMINATOR,"Eden Gardens, Kolkata","MAY, WED 25",7:30 pm IST,LSG,193.0,6.0,20.0,RCB,207.0,4.0,20.0,RCB,2022
QUALIFIER 1,"Eden Gardens, Kolkata","MAY, TUE 24",7:30 pm IST,GT,191.0,3.0,19.3,RR,188.0,6.0,20.0,GT,2022
MATCH 70,"Wankhede Stadium, Mumbai","MAY, SUN 22",7:30 pm IST,SRH,157.0,8.0,20.0,PBKS,160.0,5.0,15.1,PBKS,2022
MATCH 69,"Wankhede Stadium, Mumbai","MAY, SAT 21",7:30 pm IST,MI,160.0,5.0,19.1,DC,159.0,7.0,20.0,MI,2022
MATCH 68,"Brabourne - CCI, Mumbai","MAY, FRI 20",7:30 pm IST,RR,151.0,5.0,19.4,CSK,150.0,6.0,20.0,RR,2022
MATCH 67,"Wankhede Stadium, Mumbai","MAY, THU 19",7:30 pm IST,RCB,170.0,2.0,18.4,GT,168.0,5.0,20.0,RCB,2022
MATCH 66,"DY Patil Stadium, NAVI MUMBAI","MAY, WED 18",7:30 pm IST,KKR,208.0,8.0,20.0,LSG,210.0,0.0,20.0,LSG,2022
MATCH 65,"Wankhede Stadium, Mumbai","MAY, TUE 17",7:30 pm IST,MI,190.0,7.0,20.0,SRH,193.0,6.0,20.0,SRH,2022
MATCH 64,"DY Patil Stadium, NAVI MUMBAI","MAY, MON 16",7:30 pm IST,PBKS,142.0,9.0,20.0,DC,159.0,7.0,20.0,DC,2022
MATCH 63,"Brabourne - CCI, Mumbai","MAY, SUN 15",7:30 pm IST,LSG,154.0,8.0,20.0,RR,178.0,6.0,20.0,RR,2022
MATCH 62,"Wankhede Stadium, Mumbai","MAY, SUN 15",3:30 pm IST,CSK,133.0,5.0,20.0,GT,137.0,3.0,19.1,GT,2022
MATCH 61,"Maharashtra Cricket Association Stadium, Pune","MAY, SAT 14",7:30 pm IST,KKR,177.0,6.0,20.0,SRH,123.0,8.0,20.0,KKR,2022
MATCH 60,"Brabourne - CCI, Mumbai","MAY, FRI 13",7:30 pm IST,RCB,155.0,9.0,20.0,PBKS,209.0,9.0,20.0,PBKS,2022
MATCH 59,"Wankhede Stadium, Mumbai","MAY, THU 12",7:30 pm IST,CSK,97.0,10.0,16.0,MI,103.0,5.0,14.5,MI,2022
MATCH 58,"DY Patil Stadium, NAVI MUMBAI","MAY, WED 11",7:30 pm IST,RR,160.0,6.0,20.0,DC,161.0,2.0,18.1,DC,2022
MATCH 57,"Maharashtra Cricket Association Stadium, Pune","MAY, TUE 10",7:30 pm IST,LSG,82.0,10.0,13.5,GT,144.0,4.0,20.0,GT,2022
MATCH 56,"DY Patil Stadium, NAVI MUMBAI","MAY, MON 9",7:30 pm IST,MI,113.0,10.0,17.3,KKR,165.0,9.0,20.0,KKR,2022
MATCH 55,"DY Patil Stadium, NAVI MUMBAI","MAY, SUN 8",7:30 pm IST,CSK,208.0,6.0,20.0,DC,117.0,10.0,17.4,CSK,2022
MATCH 54,"Wankhede Stadium, Mumbai","MAY, SUN 8",3:30 pm IST,SRH,125.0,10.0,19.2,RCB,192.0,3.0,20.0,RCB,2022
MATCH 53,"Maharashtra Cricket Association Stadium, Pune","MAY, SAT 7",7:30 pm IST,LSG,176.0,7.0,20.0,KKR,101.0,10.0,14.3,LSG,2022
MATCH 52,"Wankhede Stadium, Mumbai","MAY, SAT 7",3:30 pm IST,PBKS,189.0,5.0,20.0,RR,190.0,4.0,19.4,RR,2022
MATCH 51,"Brabourne - CCI, Mumbai","MAY, FRI 6",7:30 pm IST,GT,172.0,5.0,20.0,MI,177.0,6.0,20.0,MI,2022
MATCH 50,"Brabourne - CCI, Mumbai","MAY, THU 5",7:30 pm IST,DC,207.0,3.0,20.0,SRH,186.0,8.0,20.0,DC,2022
MATCH 49,"Maharashtra Cricket Association Stadium, Pune","MAY, WED 4",7:30 pm IST,RCB,173.0,8.0,20.0,CSK,160.0,8.0,20.0,RCB,2022
MATCH 48,"DY Patil Stadium, NAVI MUMBAI","MAY, TUE 3",7:30 pm IST,GT,143.0,8.0,20.0,PBKS,145.0,2.0,16.0,PBKS,2022
MATCH 47,"Wankhede Stadium, Mumbai","MAY, MON 2",7:30 pm IST,KKR,158.0,3.0,19.1,RR,152.0,5.0,20.0,KKR,2022
MATCH 46,"Maharashtra Cricket Association Stadium, Pune","MAY, SUN 1",7:30 pm IST,SRH,189.0,6.0,20.0,CSK,202.0,2.0,20.0,CSK,2022
MATCH 45,"Wankhede Stadium, Mumbai","MAY, SUN 1",3:30 pm IST,DC,189.0,7.0,20.0,LSG,195.0,3.0,20.0,LSG,2022
MATCH 44,"DY Patil Stadium, NAVI MUMBAI","APR, SAT 30",7:30 pm IST,RR,158.0,6.0,20.0,MI,161.0,5.0,19.2,MI,2022
MATCH 43,"Brabourne - CCI, Mumbai","APR, SAT 30",3:30 pm IST,GT,174.0,4.0,19.3,RCB,170.0,6.0,20.0,GT,2022
MATCH 42,"Maharashtra Cricket Association Stadium, Pune","APR, FRI 29",7:30 pm IST,PBKS,133.0,8.0,20.0,LSG,153.0,8.0,20.0,LSG,2022
MATCH 41,"Wankhede Stadium, Mumbai","APR, THU 28",7:30 pm IST,DC,150.0,6.0,19.0,KKR,146.0,9.0,20.0,DC,2022
